STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/01/2013,8.5,0,0,,25,11
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/01/2013,8.05,0,0,,30,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/01/2013,11.41,0,0,,29,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/01/2013,13.2,0,0,,36,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",05/01/2013,9.62,0.03,0.4,,39,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",06/01/2013,11.86,0,0,,36,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",07/01/2013,12.75,0,0,,41,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",08/01/2013,9.62,0,0,,44,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",09/01/2013,14.09,0,0,,50,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/01/2013,8.5,0.63,0,,45,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/01/2013,12.97,0.3,0,,52,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/01/2013,13.2,0.06,0,,53,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/01/2013,12.53,0.1,0,,30,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/01/2013,6.49,0,0,,25,12
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/01/2013,2.24,0,0,,31,12
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/01/2013,13.87,0,0,,36,16
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/01/2013,9.4,0,0,,33,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/01/2013,14.76,0,0,,43,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/01/2013,17,0,0,,47,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/01/2013,16.11,0,0,,28,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/01/2013,16.55,0,0,,15,5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/01/2013,10.96,0,0,,11,-1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/01/2013,12.75,0.01,0.4,,23,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/01/2013,10.29,0,0,,22,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/01/2013,11.63,0.06,1.1,,29,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/01/2013,6.93,0,0,,28,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/01/2013,14.32,0.58,0.1,,37,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/01/2013,9.62,0.08,0,,48,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/01/2013,13.2,1.33,0,,63,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/01/2013,12.08,0.45,0.6,,44,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",31/01/2013,18.34,0,0,,21,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",01/02/2013,12.53,0.02,0.5,,14,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",02/02/2013,8.72,0.12,1.8,,23,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",03/02/2013,8.72,0.04,0.5,,21,9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",04/02/2013,8.72,0.19,2.4,,28,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",05/02/2013,9.4,0.02,0.5,,31,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",06/02/2013,6.71,0,0,,36,11
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",07/02/2013,8.28,1.07,1.4,,34,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",08/02/2013,11.63,0,0.1,,33,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",09/02/2013,7.38,0,0,,32,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/02/2013,16.33,0.29,0,,49,30
